datecurrent,fireyear,incidentname,perimeterdatetime,gisacres,lat,lon,geometry,index_right,NAME,fire_date,year,month,lon_adj,date,temp_month,precip_month
2010-10-13 00:00:00,2005,Deserado,2005-08-08 00:00:00,26.63193248,40.22318499461735,-108.75798641956037,POINT (-108.75798641956037 40.22318499461735),286,Moffat County,2005-08-08 00:00:00,2005,8,251.24201358043962,2005-08-08 00:00:00,73.82477539062504,0.02262532543145353
2012-03-05 00:00:00,2003,Devil Creek,2003-07-15 00:00:00,234.01591883,37.2258227292739,-107.29716424413185,POINT (-107.29716424413185 37.2258227292739),248,Archuleta County,2003-07-15 00:00:00,2003,7,252.70283575586814,2003-07-15 00:00:00,69.60954101562504,0.018320965123077623
2013-09-30 00:00:00,2004,Devil Mtn,2004-07-11 00:00:00,59.4622509,37.21651277604809,-107.3085910611863,POINT (-107.3085910611863 37.21651277604809),248,Archuleta County,2004-07-11 00:00:00,2004,7,252.6914089388137,2004-07-11 00:00:00,64.30929687500004,0.03838847726304084
2014-11-03 00:00:00,2014,Diamond Ranch,2014-10-29 08:00:00,14.68617495,40.25172102331126,-106.33866927435406,POINT (-106.33866927435406 40.25172102331126),270,Grand County,2014-10-29 08:00:00,2014,10,253.66133072564594,2014-10-29 08:00:00,37.20075195312504,0.058752745510102254
2010-09-15 00:00:00,2009,Difficult,2009-08-05 00:00:00,0.07861572,39.151737398473685,-106.77109876273393,POINT (-106.77109876273393 39.151737398473685),294,Pitkin County,2009-08-05 00:00:00,2009,8,253.2289012372661,2009-08-05 00:00:00,55.25919921875004,0.056497224931407256
2013-09-12 00:00:00,2013,Disappointment,2013-06-19 20:00:00,65.15160784,40.402118020937266,-108.50308344505282,POINT (-108.50308344505282 40.402118020937266),286,Moffat County,2013-06-19 20:00:00,2013,6,251.49691655494718,2013-06-19 20:00:00,72.75646484375005,0.0009157296034129104
2012-08-10 00:00:00,2012,Ditch Creek,2012-08-08 20:08:00,71.04984931,38.11216660540367,-105.0784628708973,POINT (-105.0784628708973 38.11216660540367),259,Custer County,2012-08-08 20:08:00,2012,8,254.92153712910272,2012-08-08 20:08:00,61.41813476562504,0.06069045667187311
2011-11-04 00:00:00,2006,Divide,2006-07-14 00:00:00,3477.133112,40.83651647937912,-107.71414012953204,POINT (-107.71414012953204 40.83651647937912),286,Moffat County,2006-07-14 00:00:00,2006,7,252.28585987046796,2006-07-14 00:00:00,72.49938476562505,0.033237531902326735
2012-08-06 00:00:00,2012,Divide,2012-08-06 00:00:00,410.36825003,40.2516747950282,-108.43058381800648,POINT (-108.43058381800648 40.2516747950282),286,Moffat County,2012-08-06 00:00:00,2012,8,251.56941618199352,2012-08-06 00:00:00,75.48766601562505,0.01008632059530355
2014-11-03 00:00:00,2014,Divide,2014-10-22 14:00:00,4.78244002,40.82185836165633,-107.87878451636958,POINT (-107.87878451636958 40.82185836165633),286,Moffat County,2014-10-22 14:00:00,2014,10,252.1212154836304,2014-10-22 14:00:00,47.50856445312504,0.01730519964210107
2010-10-13 00:00:00,2005,Divide Creek,2005-06-29 00:00:00,14.87686812,40.226194380367964,-108.61875082501594,POINT (-108.61875082501594 40.226194380367964),286,Moffat County,2005-06-29 00:00:00,2005,6,251.38124917498408,2005-06-29 00:00:00,64.58791015625005,0.060270779210061305
