,lat,lon,year,month,temp_month,precip_month,gisacres,fires_target
143,38.35008097676535,-108.42415945817588,2002,12,22.93083007812504,0.028210326012317,2240.50192266,1
144,40.409286258751266,-108.41555521234736,2006,7,77.68141601562505,0.0368762918320135,446.66560587,0
145,39.62257447339127,-106.10820375409428,2018,6,53.86217773437504,0.0441739002201706,81.53148696,0
146,39.164161473195136,-108.0829296689668,2012,7,74.20446289062505,0.0530902095330646,20.9214179,0
147,39.15143134408543,-108.07964951667418,2018,8,73.02101562500005,0.0244350598775141,11.59282182,0
148,40.28339219231678,-108.99279054064236,2015,7,71.35285156250004,0.0304368229522893,33.30924777,0
149,38.503685329651205,-108.65578005756544,2018,9,64.46090820312504,0.01499795671631,36381.24196962,1
150,39.80886254764467,-106.91922926342455,2003,7,69.57790039062505,0.022461026199063,25.62248596,0
151,38.50830054140196,-105.61147361512003,2013,6,62.82833984375005,0.0272532540516695,34.26716235,0
152,39.43392314084928,-108.73642093744512,2009,7,73.91266601562504,0.0218710591541603,382.18519604,0
153,38.069322638347224,-108.4081372512265,2002,7,72.04674804687505,0.0262170104628661,30485.51727697,1
154,40.70397413810736,-106.6975117386266,2002,8,54.08366210937504,0.0325774154215818,14107.71994459,1
155,39.41129420439331,-104.72436515026187,2011,3,39.29079101562504,0.0368395980694214,1663.71518922,1
156,37.09350187474611,-107.09263433936626,2012,8,66.28375976562504,0.0582657900391612,168.94595516,0
157,38.43520311940219,-108.61371368548735,2003,1,30.55666015625004,0.013874358047801,22.0475447,0
158,37.51520368042302,-108.09742775455187,2018,7,57.35099609375004,0.1741639054265804,4588.66631867,1
159,38.12103537565624,-106.8102943688446,2002,12,9.37106445312504,0.01689042400131,14.07851346,0
160,40.72480270982835,-108.9178636457744,2000,1,21.34440429687504,0.023744906852534,10817.31877443,1
161,40.62964028589611,-107.6396488068133,2009,8,66.16818359375004,0.0223776539921644,116.93458611,0
162,39.95383173654397,-108.4908271148863,2003,7,76.19782226562504,0.0063513363606631,23.77345787,0
163,38.65158902416719,-107.7990083146704,2018,8,70.29640625000005,0.011393310160964,745.84337535,1
164,40.53905651166225,-107.5671617791079,2015,7,67.43996093750005,0.0677223034032853,29.22785738,0
165,40.39173365576559,-108.49805395039104,2016,9,62.82702148437504,0.0418534482731716,2.89645681,0
166,39.56107632363283,-107.31213689936148,2005,9,52.28322265625005,0.0476654542709002,35.20929583,0
167,40.58219476442733,-107.6250549885977,2017,9,59.19713867187504,0.0477992769639007,25.32456601,0
168,40.57180694066608,-107.60796140754412,2018,8,70.31750000000005,0.0192026374973647,4.81201107,0
169,37.06842943084856,-106.19508633474874,2018,5,52.93888671875004,0.0338361430187069,11.12994502,0
170,40.56860282437567,-106.61530467668604,2018,7,61.46076171875004,0.0257752438693016,43.48175733,0
171,40.33452467287151,-108.2032713089452,2018,8,71.10500000000005,0.0223911357187025,299.45720176,0
172,38.97564662132767,-108.99385377954644,2002,8,70.75827148437504,0.0187879672720795,20.79560166,0
173,38.93995134543304,-108.99507056140564,2005,9,59.59220703125004,0.0908122591348597,9.3096167,0
174,38.33462027523359,-105.0357628230126,2010,11,40.47116210937504,0.0067902475690047,1033.65770615,1
175,37.44487873535715,-104.85244901689606,2018,3,36.03971679687504,0.0169787220914644,67.73445314,0
176,40.30760185429765,-108.26035798281352,2018,7,78.50802734375004,0.009468729531682,63.51675163,0
177,40.53931832329005,-108.39521911915364,2017,6,71.55939453125004,0.007285936485439,54.91457661,0
178,40.43899778570247,-108.53582667350868,2018,7,79.59435546875005,0.0136014579279988,8.51194062,0
179,39.92301750355067,-107.5889590754328,2018,8,63.82062500000004,0.0364838871948712,5964.49514408,1
180,39.401056034711864,-107.89983499110252,2018,8,63.89796875000005,0.0259225368306331,2680.5263968,1
181,38.46506926402665,-106.44936352427192,2000,12,11.70192382812504,0.0316775703307474,17.0025662,0
182,38.0788811266055,-108.37602814207578,2001,12,18.00368164062504,0.0473548635244835,121.34874827,0
183,37.58008786055592,-103.6493371556962,2011,6,77.13913085937504,0.0542669765744125,9102.06293429,1
184,39.02818490257606,-108.40875179513684,2016,10,56.17677734375005,0.0464251766789355,43.96794594,0
185,38.8263177312837,-105.36463732360954,2003,7,67.64430664062505,0.0456951147184358,499.6933024,1
186,38.41877412212582,-108.56634863399276,2004,10,46.83708007812504,0.0564248411451699,4180.77995458,1
187,38.36025455761161,-106.77594377844144,2003,7,64.57165039062505,0.0166269837773346,18.10763505,0
188,39.99778532396251,-108.47712818858028,2014,7,72.61408203125004,0.0427617816038662,319.25378722,0
189,38.4344756121548,-108.95129232158833,2001,12,19.68415039062504,0.030517424564698,230.22961857,0
190,38.44046061650095,-109.0175655390548,2018,8,74.13546875000004,0.0177248404376499,11.60656997,0
191,39.517451682659875,-108.4664895618239,2003,7,74.94625976562504,0.0146056460364663,108.91244482,0
192,39.61024516879453,-108.55758397118127,2010,7,68.84313476562505,0.0491360051604104,31.31649859,0
193,37.38093523334024,-108.46442350450752,2010,2,22.52916992187504,0.0765966481782961,118.65566389,0
194,39.76511555987399,-106.81859614931986,2017,12,21.67487304687504,0.0364070438744092,1.99965211,0
